0	106	0.00212	1
1	106	0.00212	0.99788
4	211	0.00422	0.99576
5	447	0.00894	0.99154
6	1561	0.03122	0.9826
7	626	0.01252	0.95138
8	702	0.01404	0.93886
9	113	0.00226	0.92482
12	1176	0.02352	0.92256
13	370	0.0074	0.89904
14	62	0.00124	0.89164
17	167	0.00334	0.8904
18	2339	0.04678	0.88706
19	185	0.0037	0.84028
20	5199	0.10398	0.83658
21	5866	0.11732	0.7326
24	10600	0.212	0.61528
26	286	0.00572	0.40328
27	4637	0.09274	0.39756
28	5918	0.11836	0.30482
30	1160	0.0232	0.18646
31	50	0.001	0.16326
33	2304	0.04608	0.16226
34	2190	0.0438	0.11618
35	477	0.00954	0.07238
37	536	0.01072	0.06284
38	161	0.00322	0.05212
39	146	0.00292	0.0489
41	251	0.00502	0.04598
42	354	0.00708	0.04096
45	242	0.00484	0.03388
46	93	0.00186	0.02904
47	120	0.0024	0.02718
48	58	0.00116	0.02478
49	168	0.00336	0.02362
51	53	0.00106	0.02026
52	88	0.00176	0.0192
54	15	0.0003	0.01744
57	428	0.00856	0.01714
59	2	4e-05	0.00858
61	168	0.00336	0.00854
62	14	0.00028	0.00518
64	14	0.00028	0.0049
65	17	0.00034	0.00462
66	12	0.00024	0.00428
67	1	2e-05	0.00404
68	49	0.00098	0.00402
72	21	0.00042	0.00304
76	7	0.00014	0.00262
77	3	6e-05	0.00248
78	1	2e-05	0.00242
82	64	0.00128	0.0024
83	1	2e-05	0.00112
84	26	0.00052	0.0011
85	5	0.0001	0.00058
88	14	0.00028	0.00048
90	2	4e-05	0.0002
91	2	4e-05	0.00016
94	1	2e-05	0.00012
98	1	2e-05	0.0001
104	2	4e-05	8e-05
106	1	2e-05	4e-05
127	1	2e-05	2e-05
